#LCOGT
#Taken from https://github.com/mnicholl/superbol/blob/master/example/2015bn_abs_ugriz.txt
#MJD		g	gerr	r	rerr	i	ierr	
epoch       g	gerr	r	rerr	i	ierr
-26.41	-21.75	0.04	-21.53	0.06	-21.31	0.07	
-25.25	-21.74	0.09	-21.49	0.06	-21.33	0.08	
-21.89	-21.72	0.03	-21.59	0.06	-21.36	0.06	
-18.41	-21.76	0.08	-21.51	0.06	-21.43	0.04	
-15.07	-21.91	0.09	-21.56	0.08	-21.51	0.06	
-9.90	-21.87	0.03	-21.69	0.13	-21.55	0.11	
-6.40	-21.92	0.04	-21.76	0.07	-21.61	0.09	
-3.04	-21.95	0.06	-21.72	0.05	-21.62	0.04	
0.47	-21.97	0.04	-21.81	0.06	-21.64	0.06	
3.99	-21.93	0.14	-21.70	0.13	-21.59	0.13	
7.33	-21.86	0.05	-21.70	0.06	-21.65	0.08	
16.30	-21.67	0.10	-21.56	0.06	-21.44	0.08	
19.64	-21.57	0.15	-21.43	0.14	-21.25	0.12	
23.10	-21.47	0.19	-21.34	0.14	-21.29	0.14	
26.68	-21.32	0.15	-21.24	0.14	-21.10	0.10	
30.03	-21.24	0.14	-21.26	0.08	-21.18	0.06	
33.12	-21.27	0.06	-21.23	0.07	-21.14	0.07	
38.35	-21.09	0.08	-21.06	0.09	-21.08	0.11	
43.13	-21.16	0.03	-21.15	0.05	-21.16	0.03	
48.28	-21.12	0.03	-21.15	0.06	-21.04	0.07	
53.61	-21.07	0.03	-20.93	0.08	-21.04	0.10	
69.24	-20.56	0.05	-20.71	0.06	-20.67	0.05	
74.50	-20.46	0.02	-20.53	0.05	-20.58	0.06	
81.46	-20.34	0.03	-20.49	0.06	-20.63	0.04	
87.45	-20.35	0.04	-20.39	0.06	-20.59	0.06	
93.70	-20.40	0.09	-20.41	0.09	-20.68	0.11	
99.13	-20.31	0.04	-20.25	0.06	-20.52	0.04	
103.92	-20.19	0.04	-20.21	0.06	-20.48	0.09	
115.26	-20.04	0.05	-20.17	0.07	-20.47	0.06	
120.97	-20.01	0.10	-20.06	0.09	-20.34	0.10	
269.01	-18.30	0.05	-17.75	0.06	-18.20	0.05	
270.74	-18.21	0.05	-17.59	0.06	-18.31	0.06	
290.61	-17.58	0.08	-17.08	0.09	-17.44	0.09	
297.72	-17.31	0.10	-16.87	0.11	-17.66	0.09	
301.47	-17.34	0.09	-16.96	0.10	-17.36	0.10	
312.96	-17.28	0.08	-16.91	0.11	-17.47	0.08	
320.19	-16.99	0.11	-16.93	0.12	-17.15	0.16	
326.44	-16.75	0.14	-16.49	0.13	-17.19	0.13	
